"Credit Serial Numbers","Date Issued (GMT)","Vintage","Vintage Assignment Period Start Date","Vintage Assignment Period End Date","Quantity of Credits","Account Holder","Status Effective (GMT)","Retired on Behalf of","Retirement Reason","Purpose of Retirement","Project ID","Project Name","Project Type","Project Methodology/Protocol","Methodology/Protocol Version","Project Site Location","Project Site State","Project Site Country","ARB Eligible","Ecology Eligible","CORSIA Eligible","Eligible for CORSIA 2021-2023 Compliance Period (Pilot Phase)","Eligible for CORSIA 2024-2026 Compliance Period (First Phase)","CCP Approved","Verified Removal","Sustainable Development Goal(s)","Project Website","Documents",
"ACR-US-313-2022-1831-1 to 19105","4/5/2023 4:43:14 AM","2022","12/1/2021","11/30/2022","19105","Maple Leaf Foods","8/22/2023 1:05:54 PM","","Environmental Benefit","Carbon Neutral","ACR313","High Island Dairy","Livestock Waste Management","ARB Compliance Offset Protocol: Capturing and Destroying Methane from Manure Management Systems","November 14, 2014","Le Sueur","MINNESOTA","US","Yes","No","No","","","","","02: Zero Hunger;09: Industry, Innovation and Infrastructure;13: Climate Action","","View",
"ACR-US-773-2021-1688-529116 to 532249","11/2/2022 3:20:56 PM","2021","1/6/2021","12/31/2021","3134","Maple Leaf Foods","8/22/2023 1:05:10 PM","","Environmental Benefit","Carbon Neutral","ACR773","A-Gas V8","Industrial Process Emissions","Certified Reclaimed HFC Refrigerants, Propellants, and Fire Suppressants","Version 2.0","Rhome","TEXAS","US","No","No","No","","","","","03: Good Health and Well-Being;09: Industry, Innovation and Infrastructure;12: Responsible Consumption and Production;13: Climate Action","","View",
"ACR-US-773-2021-1688-58506 to 59142","11/2/2022 3:20:56 PM","2021","1/6/2021","12/31/2021","637","Maple Leaf Foods","8/22/2023 1:04:11 PM","","Environmental Benefit","Carbon Neutral (Greenleaf Foods SPC)","ACR773","A-Gas V8","Industrial Process Emissions","Certified Reclaimed HFC Refrigerants, Propellants, and Fire Suppressants","Version 2.0","Rhome","TEXAS","US","No","No","No","","","","","03: Good Health and Well-Being;09: Industry, Innovation and Infrastructure;12: Responsible Consumption and Production;13: Climate Action","","View",
"ACR-US-574-2022-2031-1 to 40000","8/14/2023 9:34:34 PM","2022","1/1/2022","12/30/2022","40000","The Nature Conservancy","8/18/2023 8:50:11 PM","","On Behalf of Third Party","Retired on behalf of Microsoft for voluntary purposes.","ACR574","The Nature Conservancy Washington Rainforest Renewal Project","Forest Carbon","Improved Forest Management (IFM) on Non-Federal U.S. Forestlands","Version 1.3","Jefferson and Pacific Counties","WASHINGTON","US","No","No","No","","","","Yes","03: Good Health and Well-Being;06: Clean Water and Sanitation;09: Industry, Innovation and Infrastructure;11: Sustainable Cities and Communities;13: Climate Action;15: Life on Land","","View",
"ACR-US-114-2017-735-233902 to 234401","6/22/2018 11:22:39 PM","2017","1/1/2017","12/31/2017","500","Climate Impact Partners, LLC","8/18/2023 2:26:44 PM","","On Behalf of Third Party","Retired by Climate Impact Partners on behalf of Phoenix Tower International Holdco LLC","ACR114","GreenTrees ACRE (Advanced Carbon Restored Ecosystem)","Forest Carbon","Afforestation and Reforestation of Degraded Lands","Version 1.0","Mississippi Alluvial Valley","ARKANSAS; ILLINOIS; LOUISIANA; MISSISSIPPI","US","No","No","No","","","","Yes","03: Good Health and Well-Being;06: Clean Water and Sanitation;09: Industry, Innovation and Infrastructure;13: Climate Action;15: Life on Land","www.green-trees.com","View",
"ACR-TH-839-2023-1920-183476 to 183514","5/31/2023 8:20:11 PM","2023","2/7/2023","3/26/2023","39","Tradewater, LLC","8/18/2023 1:24:23 PM","","Environmental Benefit","Climate Heroes - 23.08.18","ACR839","Tradewater - Thailand 2","Ozone Depleting Substances","Destruction of Ozone Depleting Substances (ODS) from International Sources","Version 1.0","965 Moo 2 Soi 3B Bangpoo Industrial Estate, Sukhumvit Rd Bangpoo Mai","Samut Prakan","TH","No","No","No","","","Yes","","03: Good Health and Well-Being;06: Clean Water and Sanitation;09: Industry, Innovation and Infrastructure;12: Responsible Consumption and Production;13: Climate Action;14: Life Below Water;15: Life on Land","","View",
"ACR-US-534-2021-1762-52376 to 52457","1/20/2023 3:50:12 PM","2021","1/10/2021","12/31/2021","82","Vertis Environmental Finance","8/18/2023 9:13:38 AM","","Environmental Benefit","Retirement on Behalf of I.N.G.E.T.E.K.N.O.S. ESTRUCTURALES, S.A. de C.V. These credits were used to compensate emissions for Ingetek´s Neutrum products.","ACR534","Anew - Shaan Seet Native Community Forestry Project","Forest Carbon","Improved Forest Management (IFM) on Non-Federal U.S. Forestlands","Version 1.3","Prince of Wales Island","ALASKA","US","No","No","No","","","","","03: Good Health and Well-Being;06: Clean Water and Sanitation;09: Industry, Innovation and Infrastructure;11: Sustainable Cities and Communities;13: Climate Action;14: Life Below Water;15: Life on Land","","View",
"ACR-TH-839-2023-1920-183425 to 183475","5/31/2023 8:20:11 PM","2023","2/7/2023","3/26/2023","51","Tradewater, LLC","8/17/2023 1:15:34 PM","","Environmental Benefit","Climate Heroes - 23.08.17","ACR839","Tradewater - Thailand 2","Ozone Depleting Substances","Destruction of Ozone Depleting Substances (ODS) from International Sources","Version 1.0","965 Moo 2 Soi 3B Bangpoo Industrial Estate, Sukhumvit Rd Bangpoo Mai","Samut Prakan","TH","No","No","No","","","Yes","","03: Good Health and Well-Being;06: Clean Water and Sanitation;09: Industry, Innovation and Infrastructure;12: Responsible Consumption and Production;13: Climate Action;14: Life Below Water;15: Life on Land","","View",
"ACR-US-556-2019-1157-514838 to 523876","11/24/2020 5:40:58 PM","2019","1/1/2019","12/31/2019","9039","Climate Impact Partners, LLC","8/16/2023 8:11:18 PM","","On Behalf of Third Party","Retired by Climate Impact Partners on behalf of Netjets Inc. and NetJets Inc. Owners.","ACR556","Foam Blowing Agent Project 005","Industrial Process Emissions","Transition to Advanced Formulation Blowing Agents in Foam Manufacturing and Use","Version 2.0","Winchester","VIRGINIA","US","No","No","Yes","Yes","","","","03: Good Health and Well-Being;06: Clean Water and Sanitation;09: Industry, Innovation and Infrastructure;12: Responsible Consumption and Production;13: Climate Action","","View",
"ACR-US-446-2016-1119-35695 to 49205","10/7/2020 11:53:26 PM","2016","1/1/2016","12/31/2016","13511","Climate Impact Partners, LLC","8/16/2023 8:09:43 PM","","On Behalf of Third Party","Retired by Climate Impact Partners on behalf of Netjets Inc. and NetJets Inc. Owners.","ACR446","Foam Blowing Agent Project 001B","Industrial Process Emissions","Transition to Advanced Formulation Blowing Agents in Foam Manufacturing and Use","Version 1.0","Earth City","MISSOURI","US","No","No","Yes","Yes","","","","03: Good Health and Well-Being;06: Clean Water and Sanitation;09: Industry, Innovation and Infrastructure;12: Responsible Consumption and Production;13: Climate Action","","View",
"ACR-US-658-2019-1601-5001 to 41450","7/14/2022 8:30:44 PM","2019","1/1/2019","12/31/2019","36450","CarbonBetter Climate Services, LLC","8/16/2023 6:50:58 PM","","On Behalf of Third Party","2023 NY Voluntary retirement","ACR658","Whirlpool HFO Ottawa 658","Industrial Process Emissions","Transition to Advanced Formulation Blowing Agents in Foam Manufacturing and Use","Version 3.0","Ottawa","OHIO","US","No","No","Yes","Yes","","","","03: Good Health and Well-Being;06: Clean Water and Sanitation;09: Industry, Innovation and Infrastructure;12: Responsible Consumption and Production;13: Climate Action","","View",
"ACR-TH-814-2023-1808-102784 to 103081","3/16/2023 9:51:56 PM","2023","1/1/2023","1/23/2023","298","Tradewater, LLC","8/16/2023 1:29:19 PM","","On Behalf of Third Party","Retired on Behalf of Patch","ACR814","Tradewater International - Thailand 1.0","Ozone Depleting Substances","Destruction of Ozone Depleting Substances (ODS) from International Sources","Version 1.0","965 Moo 2 Soi 3B Bangpoo Industrial Estate, Sukhumvit Rd Bangpoo Mai","Samut Prakan","TH","No","No","No","","","Yes","","03: Good Health and Well-Being;06: Clean Water and Sanitation;09: Industry, Innovation and Infrastructure;12: Responsible Consumption and Production;13: Climate Action;14: Life Below Water;15: Life on Land","","View",
"ACR-TH-839-2023-1920-183349 to 183424","5/31/2023 8:20:11 PM","2023","2/7/2023","3/26/2023","76","Tradewater, LLC","8/16/2023 1:23:54 PM","","Environmental Benefit","Climate Heroes - 23.08.16","ACR839","Tradewater - Thailand 2","Ozone Depleting Substances","Destruction of Ozone Depleting Substances (ODS) from International Sources","Version 1.0","965 Moo 2 Soi 3B Bangpoo Industrial Estate, Sukhumvit Rd Bangpoo Mai","Samut Prakan","TH","No","No","No","","","Yes","","03: Good Health and Well-Being;06: Clean Water and Sanitation;09: Industry, Innovation and Infrastructure;12: Responsible Consumption and Production;13: Climate Action;14: Life Below Water;15: Life on Land","","View",
"ACR-US-114-2017-735-227374 to 227388","6/22/2018 11:22:39 PM","2017","1/1/2017","12/31/2017","15","Climate Impact Partners, LLC","8/15/2023 8:35:56 PM","","On Behalf of Third Party","Retired by Climate Impact Partners on behalf of Netjets Inc. and NetJets Inc. Owners.","ACR114","GreenTrees ACRE (Advanced Carbon Restored Ecosystem)","Forest Carbon","Afforestation and Reforestation of Degraded Lands","Version 1.0","Mississippi Alluvial Valley","ARKANSAS; ILLINOIS; LOUISIANA; MISSISSIPPI","US","No","No","No","","","","Yes","03: Good Health and Well-Being;06: Clean Water and Sanitation;09: Industry, Innovation and Infrastructure;13: Climate Action;15: Life on Land","www.green-trees.com","View",
"ACR-US-556-2019-1157-499971 to 500190","11/24/2020 5:40:58 PM","2019","1/1/2019","12/31/2019","220","Climate Impact Partners, LLC","8/15/2023 8:34:19 PM","","On Behalf of Third Party","Retired by Climate Impact Partners on behalf of Netjets Inc. and NetJets Inc. Owners.","ACR556","Foam Blowing Agent Project 005","Industrial Process Emissions","Transition to Advanced Formulation Blowing Agents in Foam Manufacturing and Use","Version 2.0","Winchester","VIRGINIA","US","No","No","Yes","Yes","","","","03: Good Health and Well-Being;06: Clean Water and Sanitation;09: Industry, Innovation and Infrastructure;12: Responsible Consumption and Production;13: Climate Action","","View",
"ACR-US-114-2017-735-227360 to 227373","6/22/2018 11:22:39 PM","2017","1/1/2017","12/31/2017","14","Climate Impact Partners, LLC","8/15/2023 8:32:07 PM","","On Behalf of Third Party","Retired by Climate Impact Partners on behalf of Executive Jet Management and Executive Jet Management Owners.","ACR114","GreenTrees ACRE (Advanced Carbon Restored Ecosystem)","Forest Carbon","Afforestation and Reforestation of Degraded Lands","Version 1.0","Mississippi Alluvial Valley","ARKANSAS; ILLINOIS; LOUISIANA; MISSISSIPPI","US","No","No","No","","","","Yes","03: Good Health and Well-Being;06: Clean Water and Sanitation;09: Industry, Innovation and Infrastructure;13: Climate Action;15: Life on Land","www.green-trees.com","View",
"ACR-US-556-2019-1157-499761 to 499970","11/24/2020 5:40:58 PM","2019","1/1/2019","12/31/2019","210","Climate Impact Partners, LLC","8/15/2023 8:30:25 PM","","On Behalf of Third Party","Retired by Climate Impact Partners on behalf of Executive Jet Management and Executive Jet Management Owners.","ACR556","Foam Blowing Agent Project 005","Industrial Process Emissions","Transition to Advanced Formulation Blowing Agents in Foam Manufacturing and Use","Version 2.0","Winchester","VIRGINIA","US","No","No","Yes","Yes","","","","03: Good Health and Well-Being;06: Clean Water and Sanitation;09: Industry, Innovation and Infrastructure;12: Responsible Consumption and Production;13: Climate Action","","View",
"ACR-US-114-2017-735-227348 to 227359","6/22/2018 11:22:39 PM","2017","1/1/2017","12/31/2017","12","Climate Impact Partners, LLC","8/15/2023 8:28:20 PM","","On Behalf of Third Party","Retired by Climate Impact Partners on behalf of Executive Jet Management and Executive Jet Management Owners.","ACR114","GreenTrees ACRE (Advanced Carbon Restored Ecosystem)","Forest Carbon","Afforestation and Reforestation of Degraded Lands","Version 1.0","Mississippi Alluvial Valley","ARKANSAS; ILLINOIS; LOUISIANA; MISSISSIPPI","US","No","No","No","","","","Yes","03: Good Health and Well-Being;06: Clean Water and Sanitation;09: Industry, Innovation and Infrastructure;13: Climate Action;15: Life on Land","www.green-trees.com","View",
"ACR-US-556-2019-1157-499589 to 499760","11/24/2020 5:40:58 PM","2019","1/1/2019","12/31/2019","172","Climate Impact Partners, LLC","8/15/2023 8:26:36 PM","","On Behalf of Third Party","Retired by Climate Impact Partners on behalf of Executive Jet Management and Executive Jet Management Owners.","ACR556","Foam Blowing Agent Project 005","Industrial Process Emissions","Transition to Advanced Formulation Blowing Agents in Foam Manufacturing and Use","Version 2.0","Winchester","VIRGINIA","US","No","No","Yes","Yes","","","","03: Good Health and Well-Being;06: Clean Water and Sanitation;09: Industry, Innovation and Infrastructure;12: Responsible Consumption and Production;13: Climate Action","","View",
"ACR-US-114-2017-735-227344 to 227347","6/22/2018 11:22:39 PM","2017","1/1/2017","12/31/2017","4","Climate Impact Partners, LLC","8/15/2023 8:24:18 PM","","On Behalf of Third Party","Retired by Climate Impact Partners on behalf of Executive Jet Management and Executive Jet Management Owners.","ACR114","GreenTrees ACRE (Advanced Carbon Restored Ecosystem)","Forest Carbon","Afforestation and Reforestation of Degraded Lands","Version 1.0","Mississippi Alluvial Valley","ARKANSAS; ILLINOIS; LOUISIANA; MISSISSIPPI","US","No","No","No","","","","Yes","03: Good Health and Well-Being;06: Clean Water and Sanitation;09: Industry, Innovation and Infrastructure;13: Climate Action;15: Life on Land","www.green-trees.com","View",
"ACR-US-556-2019-1157-496252 to 496307","11/24/2020 5:40:58 PM","2019","1/1/2019","12/31/2019","56","Climate Impact Partners, LLC","8/15/2023 8:21:00 PM","","On Behalf of Third Party","Retired by Climate Impact Partners on behalf of Executive Jet Management and Executive Jet Management Owners.","ACR556","Foam Blowing Agent Project 005","Industrial Process Emissions","Transition to Advanced Formulation Blowing Agents in Foam Manufacturing and Use","Version 2.0","Winchester","VIRGINIA","US","No","No","Yes","Yes","","","","03: Good Health and Well-Being;06: Clean Water and Sanitation;09: Industry, Innovation and Infrastructure;12: Responsible Consumption and Production;13: Climate Action","","View",
"ACR-US-114-2017-735-225841 to 227343","6/22/2018 11:22:39 PM","2017","1/1/2017","12/31/2017","1503","Climate Impact Partners, LLC","8/15/2023 8:18:38 PM","","On Behalf of Third Party","Retired by Climate Impact Partners on behalf of Netjets Inc. and NetJets Inc. Owners.","ACR114","GreenTrees ACRE (Advanced Carbon Restored Ecosystem)","Forest Carbon","Afforestation and Reforestation of Degraded Lands","Version 1.0","Mississippi Alluvial Valley","ARKANSAS; ILLINOIS; LOUISIANA; MISSISSIPPI","US","No","No","No","","","","Yes","03: Good Health and Well-Being;06: Clean Water and Sanitation;09: Industry, Innovation and Infrastructure;13: Climate Action;15: Life on Land","www.green-trees.com","View",
"ACR-US-114-2017-735-225835 to 225840","6/22/2018 11:22:39 PM","2017","1/1/2017","12/31/2017","6","Climate Impact Partners, LLC","8/15/2023 8:09:11 PM","","On Behalf of Third Party","Retired by Climate Impact Partners on behalf of NetJets Inc. and NetJets Inc. Owners.","ACR114","GreenTrees ACRE (Advanced Carbon Restored Ecosystem)","Forest Carbon","Afforestation and Reforestation of Degraded Lands","Version 1.0","Mississippi Alluvial Valley","ARKANSAS; ILLINOIS; LOUISIANA; MISSISSIPPI","US","No","No","No","","","","Yes","03: Good Health and Well-Being;06: Clean Water and Sanitation;09: Industry, Innovation and Infrastructure;13: Climate Action;15: Life on Land","www.green-trees.com","View",
"ACR-US-556-2019-1157-496048 to 496144","11/24/2020 5:40:58 PM","2019","1/1/2019","12/31/2019","97","Climate Impact Partners, LLC","8/15/2023 8:07:25 PM","","On Behalf of Third Party","Retired by Climate Impact Partners on behalf of Netjets Inc. and NetJets Inc. Owners.","ACR556","Foam Blowing Agent Project 005","Industrial Process Emissions","Transition to Advanced Formulation Blowing Agents in Foam Manufacturing and Use","Version 2.0","Winchester","VIRGINIA","US","No","No","Yes","Yes","","","","03: Good Health and Well-Being;06: Clean Water and Sanitation;09: Industry, Innovation and Infrastructure;12: Responsible Consumption and Production;13: Climate Action","","View",
"ACR-US-114-2017-735-227497 to 227514","6/22/2018 11:22:39 PM","2017","1/1/2017","12/31/2017","18","Climate Impact Partners, LLC","8/15/2023 8:02:21 PM","","On Behalf of Third Party","Retired by Climate Impact Partners on behalf of Executive Jet Management and Executive Jet Management Owners.","ACR114","GreenTrees ACRE (Advanced Carbon Restored Ecosystem)","Forest Carbon","Afforestation and Reforestation of Degraded Lands","Version 1.0","Mississippi Alluvial Valley","ARKANSAS; ILLINOIS; LOUISIANA; MISSISSIPPI","US","No","No","No","","","","Yes","03: Good Health and Well-Being;06: Clean Water and Sanitation;09: Industry, Innovation and Infrastructure;13: Climate Action;15: Life on Land","www.green-trees.com","View",
"ACR-US-556-2019-1157-524060 to 524130","11/24/2020 5:40:58 PM","2019","1/1/2019","12/31/2019","71","Climate Impact Partners, LLC","8/15/2023 7:59:37 PM","","On Behalf of Third Party","Retired by Climate Impact Partners on behalf of Executive Jet Management and Executive Jet Management Owners.","ACR556","Foam Blowing Agent Project 005","Industrial Process Emissions","Transition to Advanced Formulation Blowing Agents in Foam Manufacturing and Use","Version 2.0","Winchester","VIRGINIA","US","No","No","Yes","Yes","","","","03: Good Health and Well-Being;06: Clean Water and Sanitation;09: Industry, Innovation and Infrastructure;12: Responsible Consumption and Production;13: Climate Action","","View",
"ACR-US-386-2019-988-2530 to 3000","4/13/2020 10:50:06 PM","2019","1/1/2019","6/29/2019","471","The Carbon Offset Company","8/15/2023 4:42:55 PM","","On Behalf of Third Party","Requested by partner","ACR386","Anew - Hudson Farm Forestry Project","Forest Carbon","Improved Forest Management (IFM) on Non-Federal U.S. Forestlands","Version 1.3","Andover, New Jersey","NEW JERSEY","US","No","No","No","","","","","03: Good Health and Well-Being;06: Clean Water and Sanitation;09: Industry, Innovation and Infrastructure;13: Climate Action;15: Life on Land","","View",
"ACR-US-114-2019-1071-180742 to 183045","7/31/2020 9:00:05 PM","2019","1/1/2019","12/31/2019","2304","Arbor Day Foundation","8/15/2023 3:40:27 PM","","On Behalf of Third Party","Retired on behalf of HP, Inc. events","ACR114","GreenTrees ACRE (Advanced Carbon Restored Ecosystem)","Forest Carbon","Afforestation and Reforestation of Degraded Lands","Version 1.0","Mississippi Alluvial Valley","ARKANSAS; ILLINOIS; LOUISIANA; MISSISSIPPI","US","No","No","No","","","","Yes","03: Good Health and Well-Being;06: Clean Water and Sanitation;09: Industry, Innovation and Infrastructure;13: Climate Action;15: Life on Land","www.green-trees.com","View",
"ACR-US-622-2020-1264-154156 to 154987","5/21/2021 4:52:49 PM","2020","1/1/2020","12/31/2020","832","Climate Impact Partners, LLC","8/14/2023 9:04:59 PM","","On Behalf of Third Party","Retired by Climate Impact Partners on behalf of Spirent Communications PLC","ACR622","Foam Blowing Agent Project 003F","Industrial Process Emissions","Transition to Advanced Formulation Blowing Agents in Foam Manufacturing and Use","Version 2.0","Winchester","VIRGINIA","US","No","No","Yes","Yes","","","","03: Good Health and Well-Being;06: Clean Water and Sanitation;09: Industry, Innovation and Infrastructure;12: Responsible Consumption and Production;13: Climate Action","","View",
"ACR-US-622-2020-1264-157120 to 158119","5/21/2021 4:52:49 PM","2020","1/1/2020","12/31/2020","1000","Climate Impact Partners, LLC","8/14/2023 9:01:08 PM","","On Behalf of Third Party","Retired by Climate Impact Partners on behalf of A.T. Kearney, Inc.","ACR622","Foam Blowing Agent Project 003F","Industrial Process Emissions","Transition to Advanced Formulation Blowing Agents in Foam Manufacturing and Use","Version 2.0","Winchester","VIRGINIA","US","No","No","Yes","Yes","","","","03: Good Health and Well-Being;06: Clean Water and Sanitation;09: Industry, Innovation and Infrastructure;12: Responsible Consumption and Production;13: Climate Action","","View",
"ACR-US-658-2019-1601-1 to 5000","7/14/2022 8:30:44 PM","2019","1/1/2019","12/31/2019","5000","CarbonBetter Climate Services, LLC","8/14/2023 8:57:29 PM","","On Behalf of Third Party","Retired on behalf of customers of Shipley Choice LLC d/b/a Shipley Energy","ACR658","Whirlpool HFO Ottawa 658","Industrial Process Emissions","Transition to Advanced Formulation Blowing Agents in Foam Manufacturing and Use","Version 3.0","Ottawa","OHIO","US","No","No","Yes","Yes","","","","03: Good Health and Well-Being;06: Clean Water and Sanitation;09: Industry, Innovation and Infrastructure;12: Responsible Consumption and Production;13: Climate Action","","View",
"ACR-US-424-2019-1306-3801 to 4308","7/23/2021 4:43:59 AM","2019","10/1/2019","12/31/2019","508","Climate Impact Partners, LLC","8/14/2023 8:51:45 PM","","On Behalf of Third Party","Retired by Climate Impact Partners on behalf of Steelcase Inc.","ACR424","Albany Water Board - Improved Forest Management Project","Forest Carbon","Improved Forest Management (IFM) on Non-Federal U.S. Forestlands","Version 1.3","Albany","NEW YORK","US","No","No","No","","","","","03: Good Health and Well-Being;06: Clean Water and Sanitation;09: Industry, Innovation and Infrastructure;13: Climate Action;15: Life on Land","","View",
"ACR-US-424-2020-1596-6987 to 7224","7/6/2022 9:55:08 PM","2020","10/1/2020","12/31/2020","238","Climate Impact Partners, LLC","8/14/2023 8:39:35 PM","","On Behalf of Third Party","Retired by Climate Impact Partners on behalf of Steelcase Inc.","ACR424","Albany Water Board - Improved Forest Management Project","Forest Carbon","Improved Forest Management (IFM) on Non-Federal U.S. Forestlands","Version 1.3","Albany","NEW YORK","US","No","No","No","","","","","03: Good Health and Well-Being;06: Clean Water and Sanitation;09: Industry, Innovation and Infrastructure;13: Climate Action;15: Life on Land","","View",
"ACR-US-424-2021-1595-201 to 421","7/6/2022 9:55:08 PM","2021","1/1/2021","9/30/2021","221","Climate Impact Partners, LLC","8/14/2023 8:33:36 PM","","On Behalf of Third Party","Retired by Climate Impact Partners on behalf of Steelcase Inc.","ACR424","Albany Water Board - Improved Forest Management Project","Forest Carbon","Improved Forest Management (IFM) on Non-Federal U.S. Forestlands","Version 1.3","Albany","NEW YORK","US","No","No","No","","","","","03: Good Health and Well-Being;06: Clean Water and Sanitation;09: Industry, Innovation and Infrastructure;13: Climate Action;15: Life on Land","","View",
"ACR-US-424-2020-1596-6685 to 6986","7/6/2022 9:55:08 PM","2020","10/1/2020","12/31/2020","302","Climate Impact Partners, LLC","8/14/2023 4:24:29 PM","","On Behalf of Third Party","Retired by Climate Impact Partners on behalf of customer id 00082428","ACR424","Albany Water Board - Improved Forest Management Project","Forest Carbon","Improved Forest Management (IFM) on Non-Federal U.S. Forestlands","Version 1.3","Albany","NEW YORK","US","No","No","No","","","","","03: Good Health and Well-Being;06: Clean Water and Sanitation;09: Industry, Innovation and Infrastructure;13: Climate Action;15: Life on Land","","View",
"ACR-TH-839-2023-1920-183245 to 183348","5/31/2023 8:20:11 PM","2023","2/7/2023","3/26/2023","104","Tradewater, LLC","8/14/2023 1:50:40 PM","","Environmental Benefit","Climate Heroes - 23.08.14","ACR839","Tradewater - Thailand 2","Ozone Depleting Substances","Destruction of Ozone Depleting Substances (ODS) from International Sources","Version 1.0","965 Moo 2 Soi 3B Bangpoo Industrial Estate, Sukhumvit Rd Bangpoo Mai","Samut Prakan","TH","No","No","No","","","Yes","","03: Good Health and Well-Being;06: Clean Water and Sanitation;09: Industry, Innovation and Infrastructure;12: Responsible Consumption and Production;13: Climate Action;14: Life Below Water;15: Life on Land","","View",
"ACR-US-766-2021-1819-1 to 4000","3/28/2023 6:08:14 PM","2021","1/1/2021","12/31/2021","4000","Carbon Financial Services Pty Ltd","8/14/2023 10:39:35 AM","","Environmental Benefit","to meet net-zero commitments","ACR766","Foam Blowing Agent Project 001N","Industrial Process Emissions","Transition to Advanced Formulation Blowing Agents in Foam Manufacturing and Use","Version 3.0","Earth City","MISSOURI; TEXAS","US","No","No","No","","","","","03: Good Health and Well-Being;06: Clean Water and Sanitation;09: Industry, Innovation and Infrastructure;12: Responsible Consumption and Production;13: Climate Action","www.fsi.co","View",
"ACR-US-222-2018-1372-9 to 21","10/20/2021 7:13:11 PM","2018","1/1/2018","12/31/2018","13","Southwest Gas Corporation","8/11/2023 8:41:28 PM","","On Behalf of Third Party","NV Move2Zero Program","ACR222","Prairie Pothole Avoided Conversion of Grasslands and Shrublands","Agricultural Land Management","Avoided Conversion of Grasslands and Shrublands to Crop Production","Version 2.0","Missouri Coteau","NORTH DAKOTA","US","No","No","No","","","","","03: Good Health and Well-Being;06: Clean Water and Sanitation;13: Climate Action;15: Life on Land","","View",
"ACR-US-424-2019-1306-3301 to 3800","7/23/2021 4:43:59 AM","2019","10/1/2019","12/31/2019","500","Climate Impact Partners, LLC","8/11/2023 6:11:51 PM","","On Behalf of Third Party","Retired by Climate Impact Partners on behalf of Phoenix Tower International Holdco LLC","ACR424","Albany Water Board - Improved Forest Management Project","Forest Carbon","Improved Forest Management (IFM) on Non-Federal U.S. Forestlands","Version 1.3","Albany","NEW YORK","US","No","No","No","","","","","03: Good Health and Well-Being;06: Clean Water and Sanitation;09: Industry, Innovation and Infrastructure;13: Climate Action;15: Life on Land","","View",
"ACR-TH-839-2023-1920-183195 to 183244","5/31/2023 8:20:11 PM","2023","2/7/2023","3/26/2023","50","Tradewater, LLC","8/11/2023 1:22:32 PM","","Environmental Benefit","Climate Heroes - 23.08.11","ACR839","Tradewater - Thailand 2","Ozone Depleting Substances","Destruction of Ozone Depleting Substances (ODS) from International Sources","Version 1.0","965 Moo 2 Soi 3B Bangpoo Industrial Estate, Sukhumvit Rd Bangpoo Mai","Samut Prakan","TH","No","No","No","","","Yes","","03: Good Health and Well-Being;06: Clean Water and Sanitation;09: Industry, Innovation and Infrastructure;12: Responsible Consumption and Production;13: Climate Action;14: Life Below Water;15: Life on Land","","View",
"ACR-US-670-2021-1618-461 to 627","8/4/2022 4:59:11 PM","2021","4/21/2021","9/30/2021","167","Tradewater, LLC","8/10/2023 2:19:53 PM","","On Behalf of Third Party","Thoughtworks July 2023 Subscription","ACR670","TWRS 2","Industrial Process Emissions","Certified Reclaimed HFC Refrigerants, Propellants, and Fire Suppressants","Version 2.0","Elk Grove Village","ILLINOIS","US","No","No","No","","","","","03: Good Health and Well-Being;09: Industry, Innovation and Infrastructure;12: Responsible Consumption and Production;13: Climate Action","","View",
"ACR-TH-839-2023-1920-183154 to 183194","5/31/2023 8:20:11 PM","2023","2/7/2023","3/26/2023","41","Tradewater, LLC","8/10/2023 1:52:45 PM","","Environmental Benefit","Climate Heroes - 23.08.10","ACR839","Tradewater - Thailand 2","Ozone Depleting Substances","Destruction of Ozone Depleting Substances (ODS) from International Sources","Version 1.0","965 Moo 2 Soi 3B Bangpoo Industrial Estate, Sukhumvit Rd Bangpoo Mai","Samut Prakan","TH","No","No","No","","","Yes","","03: Good Health and Well-Being;06: Clean Water and Sanitation;09: Industry, Innovation and Infrastructure;12: Responsible Consumption and Production;13: Climate Action;14: Life Below Water;15: Life on Land","","View",
"ACR-US-398-2020-1244-67572 to 95906","4/29/2021 10:19:24 PM","2020","1/1/2020","10/9/2020","28335","The Climate Trust","8/10/2023 1:36:26 PM","","On Behalf of Third Party","Retired on behalf of OR CO2 standard - PGE Carty facility","ACR398","Anew - Doe Mountain Forestry Project","Forest Carbon","Improved Forest Management (IFM) on Non-Federal U.S. Forestlands","Version 1.3","Johnson County, Tennessee","TENNESSEE","US","No","No","No","","","","","03: Good Health and Well-Being;06: Clean Water and Sanitation;09: Industry, Innovation and Infrastructure;13: Climate Action;15: Life on Land","","View",
"ACR-US-459-2020-1219-48056 to 48152","3/4/2021 7:03:43 PM","2020","1/1/2020","7/26/2020","97","Just Energy (U.S.) Corp.","8/9/2023 6:47:42 PM","","On Behalf of Third Party","Retired on behalf of Solairus 2022","ACR459","Anew - Klawock Heenya Native Community Forestry Project","Forest Carbon","Improved Forest Management (IFM) on Non-Federal U.S. Forestlands","Version 1.3","Klawock","ALASKA","US","No","No","No","","","","","03: Good Health and Well-Being;06: Clean Water and Sanitation;09: Industry, Innovation and Infrastructure;13: Climate Action;15: Life on Land","","View",
